
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
42:BD:EB:F2:BF:C4, 2022-03-10 10:25:55, 2022-03-10 10:25:55,  1,  -1, OPN, ,   ,  -1,        0,        6,   0.  0.  0.  0,   0, , 
2E:16:08:E7:14:E3, 2022-03-10 10:25:08, 2022-03-10 10:25:08, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
9C:1C:12:CC:1F:20, 2022-03-10 10:23:08, 2022-03-10 10:24:08,  6,  -1, OPN, ,   ,  -1,        0,        5,  10.  1.  4.182,   0, , 
C4:A8:1D:93:79:18, 2022-03-10 10:22:18, 2022-03-10 10:22:20, 10,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
9C:1C:12:CD:68:A0, 2022-03-10 10:21:55, 2022-03-10 10:21:55,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
C6:5F:75:F1:C9:35, 2022-03-10 10:20:06, 2022-03-10 10:20:06,  7,  65, WPA2, CCMP, PSK, -72,        0,        0,   0.  0.  0.  0,   4, Y20A, 
7A:D5:6F:C8:F3:D8, 2022-03-10 10:18:29, 2022-03-10 10:18:32,  5, 180, WPA2, CCMP, PSK, -63,        7,        0,   0.  0.  0.  0,   3, Dev, 
9C:1C:12:CC:39:90, 2022-03-10 10:17:45, 2022-03-10 10:17:45, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
9C:1C:12:CD:5F:80, 2022-03-10 10:15:31, 2022-03-10 10:15:31,  4,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
9C:1C:12:CC:23:60, 2022-03-10 10:15:44, 2022-03-10 10:15:47,  9,  -1, OPN, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
C2:FE:5B:DF:23:19, 2022-03-10 10:14:51, 2022-03-10 10:16:37, 13, 180, WPA2, CCMP, PSK, -70,       43,        0,   0.  0.  0.  0,   8, OPPO A1k, 
EA:04:1A:B8:46:47, 2022-03-10 10:15:46, 2022-03-10 10:18:02,  6,  65, WPA2, CCMP, PSK, -63,       35,        0,   0.  0.  0.  0,  14, Galaxy M31E055, 
9C:1C:12:CD:69:40, 2022-03-10 10:17:15, 2022-03-10 10:18:15, 11,  -1, OPN, ,   ,  -1,        0,       34,  10.  1.  4. 74,   0, , 
6A:8B:CD:AE:7E:0D, 2022-03-10 10:19:59, 2022-03-10 10:19:59,  4,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
9C:1C:12:CD:59:A0, 2022-03-10 10:19:29, 2022-03-10 10:20:34, 11,  -1, OPN, ,   , -75,        0,        4,   0.  0.  0.  0,   0, , 
00:18:4D:7A:D3:10, 2022-03-10 10:15:24, 2022-03-10 10:24:23,  6,  54, OPN, ,   , -75,        4,       57,   0.  0.  0.  0,   8, KLE_Tech, 
9C:1C:12:CC:1F:C0, 2022-03-10 10:14:40, 2022-03-10 10:26:00,  1, 195, OPN, ,   , -76,        3,       17,  10.  1.  4. 74,   8, KLE_Tech, 
00:FB:BA:C5:46:03, 2022-03-10 10:26:37, 2022-03-10 10:26:37, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
9C:1C:12:CD:4F:20, 2022-03-10 10:16:35, 2022-03-10 10:27:57,  1, 195, OPN, ,   , -80,        1,     2026,  10.  1.  1.156,   8, KLE_Tech, 
6A:EF:B0:60:01:DD, 2022-03-10 10:19:12, 2022-03-10 10:27:53, 11, 360, WPA2, CCMP, PSK, -72,       22,       12,   0.  0.  0.  0,   4, POCO, 
1C:3B:F3:84:E5:A6, 2022-03-10 10:13:42, 2022-03-10 10:27:57,  3, 270, WPA2, CCMP, PSK, -52,     1551,       46,   0.  0.  0.  0,  14, IQL-SW-RL-1000, 
EC:AD:E0:76:19:A0, 2022-03-10 10:13:54, 2022-03-10 10:27:49, 11, 195, OPN, ,   , -69,      277,      637,  10.  2.  3.150,   7, SAMSUNG, 
88:DC:96:3B:43:1B, 2022-03-10 10:13:42, 2022-03-10 10:27:51,  1, 130, OPN, ,   , -68,       21,       71,  10.  1.  4. 48,   8, KLE_Tech, 
9C:1C:12:CC:39:00, 2022-03-10 10:13:45, 2022-03-10 10:27:50, 11, 195, OPN, ,   , -68,      153,     1923,  10.  1.  5. 25,   8, KLE_Tech, 
D8:32:E3:C4:4B:54, 2022-03-10 10:23:36, 2022-03-10 10:27:34, 11,  65, WPA2, CCMP, PSK, -68,       18,        0,   0.  0.  0.  0,   7, snehaaa, 
9C:1C:12:CC:40:20, 2022-03-10 10:13:42, 2022-03-10 10:27:51,  1, 195, OPN, ,   , -67,       12,       39,  10.  1.  2. 36,   8, KLE_Tech, 
9A:6B:FD:2D:47:EC, 2022-03-10 10:27:07, 2022-03-10 10:27:54,  1, 360, WPA2, CCMP, PSK, -66,        9,        6,   0.  0.  0.  0,  17, net khali ayt🤣, 
9C:1C:12:CC:38:80, 2022-03-10 10:13:42, 2022-03-10 10:27:52,  1, 195, OPN, ,   , -67,      138,     1041,  10.  1.  5. 37,   8, KLE_Tech, 
96:14:7A:7E:3B:A8, 2022-03-10 10:25:13, 2022-03-10 10:27:57,  2,  65, WPA2, CCMP, PSK, -65,       14,       17,   0.  0.  0.  0,   9, vivo 1713, 
D2:65:69:6F:46:21, 2022-03-10 10:25:28, 2022-03-10 10:27:55,  1, 360, WPA2, CCMP, PSK, -66,       31,        1,   0.  0.  0.  0,   6, Ganesh, 
9C:1C:12:CD:60:E0, 2022-03-10 10:13:43, 2022-03-10 10:27:53,  6, 195, OPN, ,   , -63,      157,       69,  10.  1.  1.  8,   8, KLE_Tech, 
F0:C7:7F:15:55:DF, 2022-03-10 10:25:19, 2022-03-10 10:27:56,  6,  54, OPN, ,   , -64,       87,        0,   0.  0.  0.  0,  19, mysimplelink-1555DF, 
F0:C7:7F:18:FA:6A, 2022-03-10 10:20:01, 2022-03-10 10:27:56,  6,  54, OPN, ,   , -64,      532,        8,  10.123. 45.  2,  19, mysimplelink-18FA6A, 
42:E9:A0:8A:D9:30, 2022-03-10 10:26:22, 2022-03-10 10:27:50, 11, 360, WPA2, CCMP, PSK, -62,       54,      121,   0.  0.  0.  0,  10, OnePlus 6t, 
BA:C5:46:03:74:6B, 2022-03-10 10:18:45, 2022-03-10 10:27:56,  6,  65, WPA2, CCMP, PSK, -64,      518,      138,   0.  0.  0.  0,   5, INDIA, 
D6:1E:D3:68:E7:C8, 2022-03-10 10:14:40, 2022-03-10 10:27:57,  2, 180, WPA2, CCMP, PSK, -60,      320,       56,   0.  0.  0.  0,   3, MSA, 
1C:3B:F3:84:DC:B7, 2022-03-10 10:13:42, 2022-03-10 10:27:57,  3, 270, WPA2, CCMP, PSK, -55,      989,        0,   0.  0.  0.  0,   0, , 
F0:C7:7F:18:7D:5B, 2022-03-10 10:21:51, 2022-03-10 10:27:56,  6,  54, OPN, ,   , -61,      507,        0,   0.  0.  0.  0,  19, mysimplelink-187D5B, 
9C:1C:12:CC:39:80, 2022-03-10 10:13:42, 2022-03-10 10:27:54, 11, 195, OPN, ,   , -53,     1581,    19525,  10.  1.  5. 25,   8, KLE_Tech, 
D2:4E:2B:4F:AC:52, 2022-03-10 10:13:42, 2022-03-10 10:27:57,  1, 180, WPA2, CCMP, PSK, -30,     1385,     3389,   0.  0.  0.  0,   9, KLE_Tech , 
4A:BD:3E:2D:57:4B, 2022-03-10 10:20:04, 2022-03-10 10:27:56,  6, 180, WPA2, CCMP, PSK, -22,     1460,      170,   0.  0.  0.  0,  16, Redmi Note 7 Pro, 
16:0F:14:C9:D3:A2, 2022-03-10 10:13:49, 2022-03-10 10:27:44,  9,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
D8:32:E3:C4:4B:54, 2022-03-10 10:18:56, 2022-03-10 10:18:56, -67,        5, (not associated) ,
DA:A1:19:1A:8F:89, 2022-03-10 10:18:58, 2022-03-10 10:18:58, -65,        1, (not associated) ,KLE_Tech
8E:D9:4C:11:ED:69, 2022-03-10 10:18:55, 2022-03-10 10:18:55, -47,        4, (not associated) ,
DA:A1:19:1E:DB:9F, 2022-03-10 10:19:11, 2022-03-10 10:19:11, -69,        3, (not associated) ,
E6:5B:57:8B:D6:5D, 2022-03-10 10:19:07, 2022-03-10 10:19:07, -63,        3, (not associated) ,
1A:F6:33:BC:F4:C1, 2022-03-10 10:19:07, 2022-03-10 10:19:07, -37,        1, (not associated) ,
16:B7:88:2C:E8:49, 2022-03-10 10:19:35, 2022-03-10 10:19:35, -73,        1, (not associated) ,
8A:86:62:B1:08:67, 2022-03-10 10:19:30, 2022-03-10 10:19:30, -67,        7, (not associated) ,
DA:A1:19:1C:03:D0, 2022-03-10 10:19:46, 2022-03-10 10:19:46, -71,        2, (not associated) ,
58:A0:23:F2:45:72, 2022-03-10 10:19:44, 2022-03-10 10:19:44, -53,        8, (not associated) ,KLE_Tech
DA:04:26:B0:5A:AE, 2022-03-10 10:19:55, 2022-03-10 10:19:55, -71,        1, (not associated) ,
8A:4E:C2:E7:A8:57, 2022-03-10 10:19:57, 2022-03-10 10:19:57, -39,        5, (not associated) ,
20:34:FB:82:4D:89, 2022-03-10 10:15:31, 2022-03-10 10:20:23, -67,      179, 9C:1C:12:CC:40:20,KLE_Tech
A2:0D:7B:CA:CD:57, 2022-03-10 10:14:36, 2022-03-10 10:20:18, -67,        5, (not associated) ,
A2:0B:95:97:60:A5, 2022-03-10 10:20:21, 2022-03-10 10:20:21, -61,        3, (not associated) ,
D6:E9:A0:08:C9:77, 2022-03-10 10:20:32, 2022-03-10 10:20:32, -71,        2, (not associated) ,
06:DB:6F:EC:60:4A, 2022-03-10 10:20:45, 2022-03-10 10:20:45, -67,        6, (not associated) ,
96:07:C6:F8:62:1E, 2022-03-10 10:20:42, 2022-03-10 10:20:42, -65,        4, (not associated) ,
DA:A1:19:A1:02:83, 2022-03-10 10:20:43, 2022-03-10 10:20:43, -63,        2, (not associated) ,
66:EE:0D:DF:D9:65, 2022-03-10 10:20:57, 2022-03-10 10:20:57, -67,        1, (not associated) ,
1E:DB:DE:86:B3:AF, 2022-03-10 10:21:23, 2022-03-10 10:21:23, -61,        2, (not associated) ,
5A:70:6A:E2:A6:4E, 2022-03-10 10:21:45, 2022-03-10 10:21:45, -63,        2, (not associated) ,
4E:CD:D1:8E:02:9A, 2022-03-10 10:21:56, 2022-03-10 10:21:56, -65,        1, (not associated) ,
9A:A5:9C:0D:3F:84, 2022-03-10 10:19:17, 2022-03-10 10:21:55,  -1,       16, 88:DC:96:3B:43:1B,
D2:F9:8C:19:83:01, 2022-03-10 10:22:18, 2022-03-10 10:22:20, -69,       19, C4:A8:1D:93:79:18,
36:36:8B:0A:F9:A7, 2022-03-10 10:23:11, 2022-03-10 10:23:11, -61,        1, (not associated) ,
DA:A1:19:B4:DC:F1, 2022-03-10 10:23:10, 2022-03-10 10:23:10, -51,        5, (not associated) ,
A6:2B:F6:CA:15:A2, 2022-03-10 10:23:32, 2022-03-10 10:23:32, -71,        1, (not associated) ,
E6:F7:34:81:65:E0, 2022-03-10 10:23:43, 2022-03-10 10:23:43, -65,        4, (not associated) ,
00:0C:E7:80:F7:75, 2022-03-10 10:23:44, 2022-03-10 10:23:45, -65,        2, (not associated) ,Giraddi
0A:85:30:73:EF:7A, 2022-03-10 10:23:42, 2022-03-10 10:23:42, -57,        3, (not associated) ,
5E:40:03:91:96:16, 2022-03-10 10:23:54, 2022-03-10 10:23:54, -67,        1, (not associated) ,
18:47:3D:7A:30:39, 2022-03-10 10:23:08, 2022-03-10 10:24:08, -69,       32, 9C:1C:12:CC:1F:20,
34:AB:95:8F:E9:DC, 2022-03-10 10:15:24, 2022-03-10 10:24:23, -79,       11, 00:18:4D:7A:D3:10,KLE_Tech
EA:B4:32:E5:DB:39, 2022-03-10 10:24:22, 2022-03-10 10:24:22, -57,       10, (not associated) ,
2E:3B:6A:C1:E5:33, 2022-03-10 10:24:31, 2022-03-10 10:24:31, -65,        1, (not associated) ,
9A:01:10:4D:43:77, 2022-03-10 10:24:30, 2022-03-10 10:24:30, -61,        1, (not associated) ,
76:A4:A1:EF:3E:07, 2022-03-10 10:24:45, 2022-03-10 10:24:45, -55,        2, (not associated) ,
22:C8:67:DF:00:87, 2022-03-10 10:24:43, 2022-03-10 10:24:43, -15,       11, (not associated) ,
80:91:33:9F:FC:DF, 2022-03-10 10:23:50, 2022-03-10 10:24:58, -35,       26, (not associated) ,
7A:4C:8A:9D:AC:EC, 2022-03-10 10:25:06, 2022-03-10 10:25:06, -79,        1, (not associated) ,
0C:96:E6:B5:DD:FB, 2022-03-10 10:18:06, 2022-03-10 10:25:06, -71,        3, (not associated) ,
A2:77:0E:FC:D8:6B, 2022-03-10 10:25:06, 2022-03-10 10:25:06, -69,        2, (not associated) ,
DA:A1:19:94:C6:64, 2022-03-10 10:25:11, 2022-03-10 10:25:11, -67,        3, (not associated) ,
DA:A1:19:6E:07:93, 2022-03-10 10:25:09, 2022-03-10 10:25:09, -65,        2, (not associated) ,
DA:A1:19:55:76:B7, 2022-03-10 10:25:09, 2022-03-10 10:25:09, -65,        2, (not associated) ,
26:40:C6:46:55:32, 2022-03-10 10:25:07, 2022-03-10 10:25:07, -63,        1, (not associated) ,
DA:A1:19:38:57:44, 2022-03-10 10:25:10, 2022-03-10 10:25:10, -49,        3, (not associated) ,
52:68:4A:61:8C:48, 2022-03-10 10:25:22, 2022-03-10 10:25:22, -65,        5, (not associated) ,
1E:8E:DE:27:3C:EE, 2022-03-10 10:25:18, 2022-03-10 10:25:18, -57,        2, (not associated) ,
74:40:BB:71:B8:EF, 2022-03-10 10:24:30, 2022-03-10 10:25:30, -67,        5, (not associated) ,
40:5B:D8:C9:64:ED, 2022-03-10 10:21:51, 2022-03-10 10:27:57, -61,       42, (not associated) ,
42:E9:A0:8A:D9:30, 2022-03-10 10:26:20, 2022-03-10 10:26:20, -61,        3, (not associated) ,
00:0C:E7:25:21:53, 2022-03-10 10:26:30, 2022-03-10 10:26:30, -65,        2, (not associated) ,Giraddi
F6:AD:88:BB:B2:E8, 2022-03-10 10:26:45, 2022-03-10 10:26:45, -73,        1, (not associated) ,
E2:3E:61:26:D9:59, 2022-03-10 10:26:46, 2022-03-10 10:26:46, -69,        1, (not associated) ,
3C:91:80:6C:8F:C7, 2022-03-10 10:17:11, 2022-03-10 10:26:42, -59,     3750, D2:4E:2B:4F:AC:52,KLE_Tech 
70:BB:E9:88:2E:AC, 2022-03-10 10:22:42, 2022-03-10 10:26:43, -43,       30, (not associated) ,
CC:2F:71:3D:10:3F, 2022-03-10 10:18:15, 2022-03-10 10:27:48, -87,        7, 6A:EF:B0:60:01:DD,
5C:FB:3A:CC:EA:61, 2022-03-10 10:13:49, 2022-03-10 10:27:44, -84,       77, 16:0F:14:C9:D3:A2,
A8:93:4A:00:EA:65, 2022-03-10 10:25:36, 2022-03-10 10:27:20, -82,       23, (not associated) ,KLE_Tech
B0:52:16:14:75:A9, 2022-03-10 10:20:52, 2022-03-10 10:27:40, -76,     1574, 96:14:7A:7E:3B:A8,KLE_Tech
86:AD:68:79:76:61, 2022-03-10 10:27:44, 2022-03-10 10:27:44, -73,        1, (not associated) ,
32:5F:60:2B:4C:B2, 2022-03-10 10:27:47, 2022-03-10 10:27:48, -73,        5, (not associated) ,
52:6B:90:AD:F6:1B, 2022-03-10 10:27:48, 2022-03-10 10:27:48, -71,        1, (not associated) ,
48:E7:DA:55:12:EF, 2022-03-10 10:17:25, 2022-03-10 10:27:53, -69,      652, BA:C5:46:03:74:6B,Jio-5G,KLE_Tech
02:00:00:00:00:00, 2022-03-10 10:13:46, 2022-03-10 10:27:41, -69,      142, (not associated) ,
BC:FF:4D:82:B1:77, 2022-03-10 10:14:06, 2022-03-10 10:27:56, -69,       28, D6:1E:D3:68:E7:C8,MSA
DA:A1:19:3D:47:AA, 2022-03-10 10:27:00, 2022-03-10 10:27:00, -69,        3, (not associated) ,
DA:A1:19:75:31:37, 2022-03-10 10:27:01, 2022-03-10 10:27:01, -69,        1, (not associated) ,
7C:6B:9C:BF:19:93, 2022-03-10 10:27:37, 2022-03-10 10:27:37, -69,        5, (not associated) ,vivo 1904,JioNet@KLE_BVB_College,Redmi
38:9D:92:33:B2:CC, 2022-03-10 10:17:40, 2022-03-10 10:27:57, -63,      145, (not associated) ,EB33B2CC
28:CD:C4:AA:E2:85, 2022-03-10 10:20:13, 2022-03-10 10:27:10, -67,     1972, 9A:6B:FD:2D:47:EC,KLE_Tech
3A:8A:BE:55:D5:DD, 2022-03-10 10:27:08, 2022-03-10 10:27:08, -67,        1, (not associated) ,
2A:DA:F3:52:02:6A, 2022-03-10 10:27:16, 2022-03-10 10:27:16, -67,        6, (not associated) ,
48:E7:DA:59:88:4F, 2022-03-10 10:19:34, 2022-03-10 10:27:32, -67,       94, (not associated) ,J6,KLE_Tech
38:00:25:03:57:64, 2022-03-10 10:22:52, 2022-03-10 10:27:52, -67,       17, (not associated) ,sbc
30:D1:6B:A4:94:35, 2022-03-10 10:20:30, 2022-03-10 10:27:57, -65,     1706, 9C:1C:12:CD:4F:20,KLE_Tech
7C:B2:7D:A4:DE:D1, 2022-03-10 10:15:32, 2022-03-10 10:27:44, -65,        6, (not associated) ,KLE_Tech
34:E6:AD:90:56:D2, 2022-03-10 10:24:35, 2022-03-10 10:27:23, -65,       16, (not associated) ,KLE_Tech
9A:6B:FD:2D:47:EC, 2022-03-10 10:27:03, 2022-03-10 10:27:03, -65,        4, (not associated) ,
DA:A1:19:15:0F:B3, 2022-03-10 10:27:32, 2022-03-10 10:27:33, -65,        6, (not associated) ,
3C:A0:67:F9:37:F5, 2022-03-10 10:14:08, 2022-03-10 10:27:49, -65,     2979, 9C:1C:12:CC:39:80,
DA:A1:19:21:A2:C6, 2022-03-10 10:27:50, 2022-03-10 10:27:50, -65,        4, (not associated) ,
DA:A1:19:89:8F:4A, 2022-03-10 10:27:51, 2022-03-10 10:27:52, -65,       25, (not associated) ,
DA:A1:19:79:EC:39, 2022-03-10 10:27:22, 2022-03-10 10:27:22, -63,        4, (not associated) ,
DA:A1:19:73:B7:F2, 2022-03-10 10:27:32, 2022-03-10 10:27:32, -63,        4, (not associated) ,
D8:9C:67:93:44:D1, 2022-03-10 10:17:45, 2022-03-10 10:27:54, -63,     3142, 9C:1C:12:CC:39:80,KLE_Tech
A8:93:4A:00:D4:5B, 2022-03-10 10:14:01, 2022-03-10 10:27:10, -61,       25, (not associated) ,
DA:A1:19:75:C9:DC, 2022-03-10 10:27:10, 2022-03-10 10:27:10, -61,        7, (not associated) ,
DA:A1:19:27:49:36, 2022-03-10 10:27:11, 2022-03-10 10:27:11, -61,        4, (not associated) ,
DC:F5:05:F8:EC:39, 2022-03-10 10:19:37, 2022-03-10 10:27:13, -61,      208, 9C:1C:12:CC:39:80,KLE_Tech
1E:3B:F3:04:DC:B7, 2022-03-10 10:13:46, 2022-03-10 10:27:56, -55,       86, 1C:3B:F3:84:E5:A6,
5E:E4:2E:1D:DC:8E, 2022-03-10 10:25:31, 2022-03-10 10:27:57, -51,       60, 96:14:7A:7E:3B:A8,
E0:9D:31:F7:5E:F4, 2022-03-10 10:18:33, 2022-03-10 10:27:22, -59,      569, D2:65:69:6F:46:21,KLE_Tech,Ganesh
3C:F0:11:E0:89:09, 2022-03-10 10:22:02, 2022-03-10 10:27:05, -59,       39, 9C:1C:12:CC:39:80,KLE_Tech
1E:3B:F3:84:DC:B8, 2022-03-10 10:13:46, 2022-03-10 10:27:56, -55,       19, 1C:3B:F3:84:E5:A6,
DA:A1:19:3A:C3:3D, 2022-03-10 10:27:21, 2022-03-10 10:27:21, -59,        7, (not associated) ,
10:6F:D9:C1:43:21, 2022-03-10 10:17:15, 2022-03-10 10:27:48, -59,     1001, 9C:1C:12:CC:39:80,KLE_Tech
08:25:25:BA:1B:3A, 2022-03-10 10:13:55, 2022-03-10 10:27:50, -59,      956, 9C:1C:12:CC:39:80,KLE_Tech,UERJTReai0EGUm9oaXQh,UERJTebz6msGUm9oaXQh,AndroidShare_6572
DA:A1:19:60:DE:99, 2022-03-10 10:27:11, 2022-03-10 10:27:11, -57,        4, (not associated) ,
42:1E:4E:11:30:26, 2022-03-10 10:27:00, 2022-03-10 10:27:00, -55,        2, (not associated) ,
DC:F5:05:D8:0F:73, 2022-03-10 10:22:52, 2022-03-10 10:27:19, -53,     1471, 9C:1C:12:CC:39:80,Galaxy M30s,KLE_Tech
70:BB:E9:37:D8:DC, 2022-03-10 10:14:43, 2022-03-10 10:26:55, -53,       44, D6:1E:D3:68:E7:C8,
48:5F:99:BE:06:39, 2022-03-10 10:13:45, 2022-03-10 10:27:56, -65,     4629, 9C:1C:12:CD:4F:20,KLE_Tech
DC:F5:05:D7:FF:F1, 2022-03-10 10:13:54, 2022-03-10 10:27:48, -36,     2804, 9C:1C:12:CC:39:80,
42:BD:EB:F2:BF:C4, 2022-03-10 10:14:37, 2022-03-10 10:27:42, -29,       79, D2:4E:2B:4F:AC:52,KLE_Tech 
C0:B5:D7:E5:4E:51, 2022-03-10 10:18:58, 2022-03-10 10:27:56, -17,      198, 4A:BD:3E:2D:57:4B,Redmi Note 7 Pro
74:D8:3E:BB:37:17, 2022-03-10 10:13:42, 2022-03-10 10:27:51,  -1,       20, 88:DC:96:3B:43:1B,
90:78:41:05:0E:6F, 2022-03-10 10:14:54, 2022-03-10 10:27:51,  -1,        9, 9C:1C:12:CC:40:20,
A8:DA:0C:68:B7:61, 2022-03-10 10:26:35, 2022-03-10 10:27:36,  -1,      111, 42:E9:A0:8A:D9:30,

